Study number,Study,StudyID,Research question,How was it measured?,What was found?,OS Bayes factor,OS Evidence interpretation ,RS effect size (correlation coefficient),RS outcome,correct answer ,Project_name,Bayes Factor Cutoff 10 Prediction,Bayes Factor Cutoff 10 Prediction Outcome
11,Anderson et al. (2012),Anderson2012,Do social comparisons influence people's well-being?,"Participants read a description of a person and were instructed to think about similarities and differences between them. In one group, the person was described as respected and liked by all their social groups. In the other group, the person was described as not respected and liked in any of their social groups. Afterwards, participants answered questions about their well-being.","If participants compared themselves with a highly respected and liked person, participants reported lower well-being.",11.8,strong,-0.005,0,2,ManyLabs2,will replicate,0
12,Giessner & Schubert (2007),Giessner2007,Is perceived power related to the vertical location of a person?,"Participants studied a schematic display of the hierarchy within an organization, including a manager and his team. In one group, the vertical line connecting the manager to the team was long (i.e., 7 cm). In the other group, the vertical line was short (i.e., 2 cm). Afterwards, participants estimated how much power they thought the manager held within the organization.","If the vertical line connecting the manager to the team was long, participants estimated that the manager held more power within the organization.",1.9,weak,0.011,0,2,ManyLabs2,wont replicate,1
13,Risen & Gilovich (2008),Risen2008,Do people belief that tempting fate leads to negative consequences?,"Participants imagined a scenario in which they would come to a lecture in which the professor picks out one student to answer a difficult question in front of the entire class. In one group, participants imagined that they tempted fate by coming to the lecture unprepared. In the other group, participants imagined that they came to the lecture prepared. Afterwards, participants had to estimate how likely it was that they would get chosen.","If participants imagined that they tempted fate, they thought it was more likely that they would get chosen by the professor to answer a difficult question in front of the entire class.",1.5,weak,0.117,1,1,ManyLabs2,wont replicate,0
14,Shafir (1993),Shafir1993,"Do people find positive characteristics more important in decisions in which they are awarding something, and find negative characteristics more important in decisions in which they are denying something?","Participants imagined that they were members of a jury, who had to decide which parent would obtain custody for a child. One parent was described as having average features concerning, for instance, income, work-related absence, and relationship to the child. The other parent had both extreme positive characteristics (e.g., very close relationship to the child), but also extreme negative characteristics (e.g., much work-related absence). In one group, participants were asked to which parent they would award custody for the child. In the other group, participants were asked to which parent they would deny custody for the child.","In both groups, participants selected the extreme parent more often than the average parent.",1.9,weak,-0.047,0,2,ManyLabs2,wont replicate,1
15,Zaval et al. (2014),Zaval2014,Do people's concerns about global warming change when the concept of heat or cold is active in their minds?,"Participants performed a task in which they had to unscramble sentences. In one group, participants read sentences that contained words related to hot temperatures. In the other group, people read sentences that contained words related to cold temperatures. Afterwards, participants reported the degree in which they were concerned about global warming.","If participants read sentences that contained words related to hot temperatures, participants were more concerned about global warming.",1.3,weak,-0.01,0,2,ManyLabs2,wont replicate,1
16,Tversky & Gati (1978),Tversky1978,Are people's judgements of how similar two concepts are influenced by the order in which they were mentioned?,"Participants rated how similar two countries were to each other (e.g., ""How similar is the USA to Lebanon?''). One of the countries was well-known to the participants (e.g., the USA). The other country was less familiar to the participants (e.g., Lebanon). In one group, the well-known country was mentioned first. In the other group, the less known country was mentioned first.","If the well-known country was mentioned first, participants judged the two countries as less similar.",6.4,moderate,0.009,0,2,ManyLabs2,wont replicate,1
17,Kidd & Castano (2013),Kidd2013,Can reading literary fiction improve people's understanding of other people's emotions?,"Participants read a short text passage. In one group, the text passage was literary fiction. In the other group, the text passage was non-fiction. Afterwards, participants had to identify people's expressed emotion (e.g., happy, angry) based on images of the eyes only. ",Participants were better at recognizing the correct emotion after reading literary fiction.,3.5,moderate,-0.027,0,2,SSRP,wont replicate,1
18,Shah et al. (2012),Shah2012,Does poverty drain people's attention?,"Participants played the game ''Wheel of Fortune'', a game in which people have to guess letters in word puzzles. In one group, participants were given 6 chances per round to guess letters (i.e., 'poor' players). In the other group, participants were given 20 chances per round to guess letters (i.e., 'rich' players). Afterwards, they completed an attention task.","If participants were given few chances per round to guess letters, they performed worse in the subsequent attention task.",1.5,weak,-0.015,0,2,SSRP,wont replicate,1
19,Zhong & Liljenquist (2006),Zhong2006,Does feeling morally dirty increase people's need to wash themselves?,"Participants hand copied a story written in the first person. In one group, participants rewrote an unethical short story about sabotaging a co-worker. In the other group, participants rewrote an ethical short story about helping a co-worker. Afterwards, participants expressed their desire for cleaning products (e.g., soap, toothpaste).","If participants rewrote an unethical story, they had a higher desire for cleansing products.",4,moderate,0.016,0,2,ManyLabs2,wont replicate,1
20,Kovacs et al. (2010),Kovac2010,"Do beliefs of others influence people's actions, even if these beliefs are irrelevant?","Participants watched a short cartoon. In the cartoon, a character places a ball behind a box, which then rolls away. Then, the character lifts the box and reveals the ball, which returned unexpectedly. Participants were instructed to press a button as soon as they detected the ball. In one group, the character saw the ball rolling away. In the other group, the character did not see the ball rolling away.","If the character believed that the ball was behind the box, participants detected the ball faster.",2.4,weak,0.586,1,1,SSRP,wont replicate,0
21,Lee & Schwarz (2010),Lee2010,Does washing hands weaken people's urge to justify their choice for a non-preferred item?,"Participants ranked 10 CDs based on how much they would like to own them. Then, the participants could choose to keep their 5th or 6th choice. After the choice, participants were asked to evaluate a soap and then to rank the CDs again. In one group, participants evaluated the soap after they washed their hands with it. In the other group, participants evaluated the soap without washing their hands with it.","If participants evaluated the soap without washing their hands with it, they increased their preference for their chosen CD.",4,moderate,-0.046,0,2,SSRP,wont replicate,1
22,Morewedge et al. (2010),Morewedge2010,"Do people want to eat less food, after they repeatedly imagined eating it?","Participants had to imagine 33 repetitive actions, one at a time. In one group, participants imagined eating 30 M&Ms and then inserting 3 coins in a laundry machine. In the other group, participants imagined inserting 33 coins in a laundry machine. Afterwards, participants could eat from a bowl containing M&Ms.","If participants imagined eating 30 M&Ms, they ate fewer M&Ms from the bowl.",5.4,moderate,0.355,1,1,SSRP,wont replicate,0
23,Nishi et al. (2015),Nishi2015,Are groups less likely to reduce inequality if the group members know the wealth of each other?,"In a game, participants could share resources with co-players or keep it to themselves. At the start of the game, the resources were distributed unevenly between the players. In one group, participants saw the amount of resources of other players. In the other group, participants only saw their own resources.","If participants knew the amount of resources from other players, the inequality between the players remained higher.",7.1,moderate,0.116,1,1,SSRP,wont replicate,0
24,Pyc & Rawson (2010),Pyc2010,"When learning new words, does taking a test help people to remember links between the words and their meaning?","Participants learned 48 Swahili words by writing down links between each Swahili word and its meaning. In one group, the learning strategy of the participants involved learning - testing - learning. In the other group, the learning strategy of the participants involved learning - relearning, without testing. One week later, participants did a memory test in which they got the instruction to write down the meaning of the Swahili word, and their self-generated link between the word and its meaning.","If participants used a learning strategy that involved learning - testing - learning, they remembered more of their self-generated links between the words and their meaning.",2.6,weak,0.15,1,1,SSRP,wont replicate,0
25,Sparrow et al. (2011),Sparrow2011,"Do difficult questions activate the concepts of ""Google'' and computers in people's minds?","Participants answered knowledge questions. In one group, participants answered difficult questions. In the other group, participants answered easy questions. Afterwards, they performed a reaction time task where they had to ignore computer-related words that were presented on the screen.","If participants answered difficult questions, their reaction times were slower when computer-related words were present on the screen (which indicates that the concept of computers was active in their minds).",15.5,strong,0.05,0,2,SSRP,will replicate,0
26,Wilson et al. (2014),Wilson2014,Do people enjoy doing nothing?,"Participants spent a short amount of time by themselves in an empty room. In one group, participants were instructed to spend their time on a non-social activity (e.g., listening to music, reading a book, surfing the Web). In the other group, participants were instructed to entertain themselves with their thoughts (without any external activity). Afterwards participants answered questions about how enjoyable this experience was.","If participants had just their thoughts to entertain themselves, they enjoyed themselves less.",422,extreme,0.594,1,1,SSRP,will replicate,1
27,Alter et al. (2007),Alter2007,Do people's logic skills improve if the concept of analytic thinking is active in their minds?,"Participants solved difficult logic problems. In one group, the logic problems were printed in a font that was hard to read (activating the analytical mindset). In the other group, the logic problems were printed in a font that was easy to read.","If the logic problems were printed in a font that was hard to read, participants solved more of the logic problems correctly.",1.5,weak,-0.026,0,2,ManyLabs2,wont replicate,1
28,Fakers et al. (2019),Fakers2019,"This is an attention check, did you read this?","In order to test that you are paying attention, please select ""No"" and 75% confidence. ","If you want to pass the attention check, please select ""No"" and 75% confidence. ",1,no,NA,0,2,NA,NA,NA
